element,name,Z,ecut_eff,ecut_prec,cost,avg_sq_score,myscore,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5
P,PSL-PAW-v0.x,5.0,30.0,30,25.0,0.2039,0.1328,0.3001,0.3456,0.3597,0.546,0.2026,0.1784,0.1117,0.2406,0.1843,0.1723
Ni,SPMS,18.0,60.0,60,916.4104,0.2046,0.4084,0.1383,0.0683,0.0669,0.0972,0.5423,0.1213,0.0953,0.5704,0.1034,0.0801
S,PSL-US-v1-low,6.0,35.0,35,45.3652,0.2077,0.1778,0.2376,0.2453,0.2366,0.2048,0.0832,0.1319,0.6958,0.1404,0.1627,0.0122
In,PSL-PAW-v0.x,13.0,45.0,45,310.4728,0.2081,0.2822,0.0483,0.0323,0.0303,0.0444,0.1329,0.3495,0.6345,0.0983,0.3712,0.2019
Nd,PSL-US-v1-high,24.0,200.0,200,9914.8374,0.2098,1.8137,0.1231,0.3631,0.6866,0.1614,0.0765,0.0241,0.2502,0.0403,0.0427,0.0373
Ga,SPMS,13.0,60.0,60,478.0042,0.2105,0.446,0.2803,0.1543,0.1629,0.3535,0.1689,0.3023,0.5829,0.0715,0.3459,0.1162
Pa,PSL-PAW-v1-high,13.0,75.0,80,668.0312,0.2107,0.6214,0.1334,0.1709,0.1729,0.3691,0.4312,0.3797,0.1872,0.2395,0.4167,0.3112
Cr,PSL-PAW-v1-high,14.0,45.0,70,360.075,0.2117,0.3499,0.3466,0.3784,0.3427,0.3019,0.2731,0.2351,0.4011,0.3082,0.2586,0.1551
Be,SG15,4.0,40.0,45,24.6336,0.2132,0.2313,0.4093,0.507,0.4819,0.3006,0.0274,0.091,0.0382,0.0537,0.0924,0.1831
Na,PSL-PAW-v1-high,9.0,80.0,120,352.7265,0.2138,0.6981,0.3006,0.2766,0.275,0.293,0.3284,0.289,0.4455,0.3597,0.3079,0.0945
Cu,GBRV-1.X,19.0,35.0,120,454.912,0.2139,0.2532,0.3218,0.3297,0.3273,0.3161,0.3859,0.2502,0.3133,0.3576,0.2979,0.1448
Ir,JTH-1.1-std,15.0,30.0,30,225.0,0.215,0.1238,0.1788,0.1399,0.1643,0.2374,0.0679,0.1721,0.719,0.1196,0.3062,0.1141
Hg,GBRV-1.X,12.0,120.0,120,1152.0,0.2162,1.0935,0.397,0.3964,0.2627,0.3091,0.4463,0.266,0.2104,0.1822,0.3285,0.1521
Be,DOJO-041-str,4.0,90.0,100,83.1384,0.2168,0.7504,0.3709,0.5097,0.5132,0.2705,0.187,0.0558,0.2446,0.1213,0.1069,0.0281
Ti,SG15,12.0,40.0,45,221.7025,0.2169,0.2027,0.1684,0.0937,0.1149,0.6233,0.1142,0.3223,0.4313,0.149,0.2619,0.1626
Ca,SPMS,10.0,30.0,30,100.0,0.2174,0.1389,0.5807,0.3725,0.3167,0.305,0.0531,0.0317,0.0273,0.3798,0.0267,0.0413
Br,PSL-US-v1-high,17.0,80.0,120,1258.4934,0.2189,0.6027,0.0112,0.0161,0.0471,0.0171,0.0712,0.264,0.7657,0.0769,0.1949,0.0724
Co,SPMS,17.0,50.0,55,621.829,0.219,0.3197,0.3427,0.1457,0.0925,0.3878,0.3239,0.1194,0.0654,0.6338,0.1122,0.0687
Zn,PSL-PAW-v1-high,20.0,90.0,100,2078.461,0.2252,0.7587,0.416,0.3938,0.4193,0.4912,0.1694,0.1451,0.3084,0.1967,0.1795,0.1
Br,SPMS,7.0,30.0,30,49.0,0.2273,0.099,0.1183,0.1269,0.1252,0.1137,0.0406,0.1604,0.8134,0.0663,0.1468,0.0216
Tl,DOJO-041-str,21.0,75.0,75,1743.2056,0.2295,0.6308,0.1923,0.111,0.1408,0.0608,0.2307,0.3553,0.6628,0.1562,0.3319,0.346
Ba,SG15,10.0,40.0,40,153.9601,0.2321,0.1884,0.1162,0.0936,0.0939,0.0606,0.0823,0.0252,0.833,0.1323,0.0378,0.1137
Hf,SG15,26.0,50.0,55,1454.5204,0.2327,0.336,0.4963,0.3729,0.292,0.4996,0.1274,0.0366,0.0743,0.4356,0.0476,0.0594
W,SG15,28.0,40.0,45,1207.047,0.2328,0.2631,0.0813,0.0098,0.0755,0.1621,0.2561,0.3941,0.6321,0.0602,0.4571,0.2283
Se,SG15,6.0,30.0,30,36.0,0.2353,0.0953,0.0751,0.1276,0.146,0.0486,0.1114,0.1167,0.8417,0.1143,0.0649,0.0139
C,DOJO-041-std,4.0,65.0,65,51.028,0.2368,0.5418,0.4332,0.5043,0.4654,0.0524,0.1541,0.194,0.4629,0.1165,0.196,0.0423
Ir,PSL-US-v1-low,17.0,40.0,65,444.9446,0.237,0.2739,0.3408,0.3855,0.439,0.0472,0.1092,0.1173,0.6486,0.1174,0.1546,0.1529
Ir,PSL-US-v1-low,9.0,30.0,30,81.0,0.237,0.1739,0.3408,0.3855,0.439,0.0472,0.1092,0.1173,0.6486,0.1174,0.1546,0.1529
Sn,SPMS,14.0,35.0,35,246.9882,0.2372,0.2629,0.2484,0.2687,0.2502,0.1446,0.2161,0.3879,0.1097,0.2981,0.5505,0.4862
Sb,GBRV-1.X,15.0,35.0,35,283.5324,0.241,0.2137,0.0769,0.1454,0.1456,0.0433,0.1097,0.3181,0.7604,0.1881,0.2663,0.3396
Be,JTH-1.1-std,4.0,35.0,60,20.1623,0.2436,0.2763,0.4001,0.4369,0.4286,0.2693,0.4424,0.2841,0.2422,0.2848,0.3179,0.0946
In,DOJO-041-std,13.0,60.0,65,478.0042,0.2447,0.4663,0.1233,0.1461,0.1415,0.0586,0.1232,0.4109,0.7275,0.0224,0.3937,0.2302
C,SPMS,4.0,65.0,70,51.028,0.2452,0.5494,0.4503,0.5184,0.4778,0.0715,0.1577,0.1981,0.4706,0.1218,0.2003,0.0398
Cd,SG15,20.0,35.0,35,504.0576,0.2458,0.2445,0.4295,0.4632,0.4428,0.4591,0.1001,0.2779,0.2678,0.3085,0.2048,0.1554
Gd,PSL-PAW-v1-high,28.0,150.0,150,8765.3865,0.2472,1.3517,0.802,0.2992,0.355,0.0659,0.2052,0.1266,0.1301,0.1106,0.1155,0.121
Np,PSL-PAW-v1-high,15.0,80.0,120,979.7959,0.2474,0.7001,0.1901,0.1904,0.1369,0.4693,0.5063,0.3613,0.3217,0.2727,0.4292,0.2927
Ti,JTH-1.1-std,12.0,30.0,30,144.0,0.2476,0.234,0.3537,0.3566,0.3664,0.3847,0.4377,0.2958,0.2546,0.4013,0.3259,0.2137
Au,PSL-US-v1-low,11.0,30.0,35,121.0,0.2494,0.2275,0.373,0.3637,0.3506,0.4265,0.2418,0.2697,0.4963,0.3049,0.2748,0.2729
Au,PSL-US-v1-low,19.0,55.0,75,896.1266,0.2494,0.4775,0.373,0.3637,0.3506,0.4265,0.2418,0.2697,0.4963,0.3049,0.2748,0.2729
Tl,PSL-US-v1-high,13.0,70.0,100,602.3541,0.251,0.5442,0.1317,0.1009,0.0934,0.1567,0.1084,0.3633,0.8093,0.0572,0.3231,0.1611
Cu,SG15,19.0,75.0,75,1426.9778,0.2521,0.6055,0.3975,0.0855,0.3838,0.5907,0.0458,0.2043,0.5146,0.1327,0.2904,0.176
Au,GBRV-1.X,11.0,30.0,30,121.0,0.2532,0.1579,0.2046,0.2984,0.3043,0.0773,0.1661,0.0654,0.8284,0.2188,0.0863,0.0395
Tl,PSL-PAW-v1-high,13.0,70.0,100,602.3541,0.2568,0.5462,0.131,0.1052,0.097,0.1553,0.1008,0.3628,0.8308,0.0429,0.3189,0.1663
Sc,SG15,11.0,35.0,35,152.4774,0.2615,0.1675,0.0593,0.1368,0.1184,0.7709,0.1886,0.3494,0.3941,0.0727,0.3451,0.2248
P,PSL-PAW-v1-low,5.0,35.0,35,31.5036,0.264,0.2375,0.3676,0.3842,0.3889,0.5152,0.0772,0.2312,0.5974,0.2008,0.2177,0.0675
Au,PSL-PAW-v1-low,11.0,30.0,35,121.0,0.2652,0.2412,0.3935,0.3854,0.3696,0.4503,0.2485,0.2756,0.5173,0.3175,0.2785,0.2846
Au,PSL-PAW-v1-low,19.0,55.0,75,896.1266,0.2652,0.4912,0.3935,0.3854,0.3696,0.4503,0.2485,0.2756,0.5173,0.3175,0.2785,0.2846
Cl,JTH-1.1-std,7.0,30.0,30,49.0,0.266,0.1476,0.1305,0.1332,0.1395,0.125,0.1577,0.2886,0.898,0.116,0.2653,0.0455
Pu,PSL-US-v1-high,16.0,40.0,55,394.1378,0.2677,0.2942,0.7112,0.3196,0.4075,0.3571,0.4128,0.1555,0.0647,0.0509,0.267,0.1741
Y,SPMS,11.0,30.0,30,121.0,0.2698,0.1968,0.1314,0.0699,0.0668,0.5421,0.3862,0.4051,0.4798,0.2993,0.4565,0.3129
P,PSL-US-v1-low,5.0,35.0,35,31.5036,0.2737,0.2451,0.378,0.3912,0.3947,0.5212,0.0873,0.2329,0.6275,0.2066,0.225,0.0601
Rh,GBRV-1.X,15.0,35.0,40,283.5324,0.2753,0.2674,0.2922,0.2197,0.2298,0.3016,0.2625,0.2938,0.8128,0.2084,0.3332,0.2043
Na,PSL-US-v1-high,9.0,80.0,120,352.7265,0.2762,0.7388,0.3709,0.3202,0.3671,0.5184,0.3762,0.3123,0.462,0.3942,0.3351,0.1112
Hg,DOJO-041-str,20.0,80.0,80,1741.8594,0.2787,0.6664,0.4045,0.4665,0.5785,0.6414,0.1626,0.136,0.1165,0.2272,0.1438,0.1626
Na,PSL-US-v0.x,9.0,50.0,55,174.2843,0.2851,0.4436,0.1865,0.1643,0.1609,0.0378,0.4089,0.4098,0.6701,0.5007,0.4441,0.1469
Hf,SPMS,12.0,30.0,30,144.0,0.2854,0.2183,0.0998,0.0658,0.0563,0.1861,0.485,0.5713,0.5142,0.1062,0.5631,0.3253
Ge,PSL-US-v0.x,14.0,45.0,50,360.075,0.2867,0.325,0.0278,0.032,0.0482,0.0263,0.0868,0.5416,0.8202,0.079,0.4139,0.1995
S,PSL-US-v0.x,6.0,30.0,30,36.0,0.2906,0.2277,0.4741,0.4434,0.4632,0.6065,0.2279,0.3374,0.0958,0.3509,0.2753,0.2773
B,SG15,3.0,35.0,35,11.3413,0.2908,0.2337,0.4008,0.198,0.0642,0.7254,0.2694,0.2968,0.5198,0.3133,0.3554,0.0475
Tl,DOJO-041-std,13.0,50.0,50,363.6301,0.292,0.4063,0.3447,0.3309,0.3252,0.3238,0.0196,0.3156,0.8563,0.1382,0.2358,0.1098
In,SPMS,13.0,35.0,35,212.9643,0.2944,0.2531,0.167,0.0634,0.0625,0.3128,0.22,0.4572,0.8269,0.1481,0.4397,0.2691
Li,SG15,3.0,55.0,60,22.3411,0.2949,0.4706,0.1384,0.1254,0.1252,0.113,0.373,0.2729,0.7634,0.5715,0.416,0.0343
Sb,DOJO-041-str,23.0,90.0,90,2748.7646,0.2956,0.8586,0.2776,0.3367,0.2499,0.3592,0.1914,0.3538,0.7515,0.3667,0.3105,0.3894
U,PSL-PAW-v1-high,14.0,80.0,120,853.5111,0.296,0.757,0.3264,0.2855,0.2139,0.5598,0.4982,0.4014,0.4285,0.2755,0.4527,0.3313
S,PSL-PAW-v0.x,6.0,30.0,30,36.0,0.2974,0.2345,0.503,0.456,0.4712,0.6361,0.2408,0.2784,0.2167,0.3457,0.2548,0.2436
La,SG15,11.0,200.0,200,2082.8044,0.2987,1.8711,0.7083,0.2318,0.3363,0.6494,0.1781,0.1207,0.0472,0.4666,0.1764,0.1218
Ge,PSL-PAW-v0.x,14.0,45.0,50,360.075,0.2993,0.3327,0.0298,0.0402,0.0339,0.0211,0.0898,0.5575,0.8545,0.0812,0.4247,0.2075
Tl,PSL-US-v0.x,13.0,40.0,60,260.1925,0.3014,0.2913,0.2011,0.1738,0.1657,0.232,0.0864,0.3976,0.9438,0.0227,0.3491,0.1905
Kr,PSL-US-v1-high,18.0,120.0,150,2592.0,0.3027,1.133,0.2466,0.5564,0.3625,0.254,0.1527,0.3454,0.8032,0.1363,0.2871,0.1068
S,PSL-PAW-v1-low,6.0,35.0,35,45.3652,0.303,0.2164,0.234,0.2485,0.2418,0.2038,0.085,0.1442,1.0158,0.1457,0.1672,0.0248
He,SPMS,2.0,80.0,80,17.4186,0.3032,0.7077,0.5894,0.4889,0.5129,0.3529,0.1181,0.0344,0.0798,0.6419,0.0154,0.1179
Fe,PSL-US-v1-low,8.0,30.0,45,64.0,0.3058,0.2065,0.2721,0.1646,0.1935,0.1373,0.2107,0.2413,0.9804,0.2467,0.3496,0.0343
He,DOJO-041-std,2.0,80.0,80,17.4186,0.3068,0.7113,0.5821,0.5076,0.5133,0.3526,0.1235,0.0475,0.0489,0.6539,0.0393,0.1217
Tl,PSL-PAW-v0.x,13.0,40.0,60,260.1925,0.3074,0.2995,0.2158,0.1832,0.1752,0.2495,0.0982,0.4132,0.9496,0.0209,0.3583,0.2001
Lu,Wentzcovitch,25.0,35.0,60,787.59,0.3092,0.2637,0.1268,0.1494,0.0736,0.3595,0.3708,0.3924,0.8983,0.2463,0.3426,0.197
Sb,JTH-1.1-std,15.0,30.0,35,225.0,0.3093,0.2005,0.0545,0.0537,0.0543,0.0856,0.1946,0.3995,0.9558,0.1618,0.3319,0.3605
Tc,SPMS,15.0,30.0,30,225.0,0.3099,0.2033,0.3217,0.096,0.0904,0.616,0.1967,0.4245,0.7119,0.1214,0.3423,0.4108
Fe,SPMS,16.0,50.0,50,550.8243,0.3101,0.3734,0.5044,0.0826,0.0988,0.7775,0.1033,0.3263,0.3661,0.5371,0.236,0.1868
Ru,JTH-1.1-std,16.0,30.0,30,256.0,0.3105,0.243,0.2385,0.0692,0.065,0.3631,0.4268,0.413,0.785,0.2795,0.4762,0.2681
Ti,PSL-PAW-v1-high,12.0,50.0,55,309.8387,0.3125,0.5055,0.3998,0.3805,0.3979,0.4145,0.4508,0.3879,0.5072,0.4507,0.4171,0.2578
Bi,SG15,15.0,35.0,35,283.5324,0.3139,0.2453,0.1337,0.1653,0.1782,0.0453,0.0546,0.3879,1.0003,0.0679,0.3372,0.2553
Se,PSL-US-v1-high,16.0,80.0,150,1114.79,0.3263,0.637,0.0512,0.0908,0.0814,0.0533,0.0721,0.2172,1.1225,0.1054,0.173,0.1145
Se,PSL-PAW-v1-high,16.0,80.0,80,1114.79,0.3264,0.6385,0.0522,0.0952,0.1055,0.0715,0.0757,0.2155,1.1227,0.111,0.1756,0.1159
Cd,PSL-US-v0.x,12.0,55.0,75,357.4577,0.3286,0.5189,0.1628,0.2522,0.2228,0.1583,0.5433,0.3677,0.8939,0.1902,0.4102,0.2769
Xe,DOJO-050-std,8.0,200.0,200,1101.6486,0.3319,1.9702,0.4843,0.574,0.5661,0.5301,0.2528,0.1935,0.5634,0.356,0.1222,0.2198
Pt,SG15,18.0,40.0,40,498.8306,0.3338,0.3877,0.5211,0.5625,0.5467,0.5662,0.3584,0.2262,0.3415,0.4554,0.2467,0.2308
Be,DOJO-041-std,4.0,75.0,75,63.2456,0.3342,0.6813,0.5064,0.7273,0.7378,0.3877,0.2277,0.0565,0.3248,0.1328,0.1253,0.0702
Pu,MARBURG,16.0,200.0,200,4406.5944,0.3356,1.8749,0.757,0.359,0.2728,0.8374,0.1869,0.1862,0.2493,0.2212,0.142,0.0517
Cd,PSL-PAW-v0.x,12.0,55.0,55,357.4577,0.3358,0.4877,0.0611,0.1337,0.1111,0.0672,0.4072,0.4146,0.9886,0.1814,0.4242,0.2782
Fe,PSL-US-v1-high,16.0,200.0,200,4406.5944,0.3384,2.0067,0.5511,0.4342,0.4707,0.558,0.4133,0.3164,0.4884,0.4367,0.3541,0.1956
Re,PSL-US-v1-low,15.0,45.0,50,413.3514,0.3402,0.4946,0.4139,0.4364,0.3826,0.3521,0.495,0.4636,0.5411,0.3926,0.4889,0.387
Ag,GBRV-1.X,19.0,75.0,100,1426.9778,0.3404,0.7142,0.2464,0.1739,0.2104,0.3363,0.3036,0.4838,0.9441,0.1833,0.45,0.2821
