element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
N,PSL-PAW-v0.x,5,35,35,,,,,,,,,,,,,7
N,PSL-PAW-v1-high,5,40,40,,,,,,,,,,,,,7
N,PSL-US-v0.x,5,,,,,,,,,,,,,,,7
N,PSL-US-v1-high,5,,,,,,,,,,,,,,,7
N,GBRV-1.X,5,,,,,,,,,,,,,,,7
O,PSL-PAW-v0.x,6,40,45,0.0,0.1,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,8
O,PSL-PAW-v1-low,6,35,35,0.12305350711987734,0.17305350711987733,0.26,0.21,0.2,0.22,0.26,0.21,0.44,0.21,0.23,0.22,8
O,JTH-1.1-std,6,35,60,0.1421990772805187,0.19219907728051872,0.26,0.23,0.21,0.25,0.26,0.23,0.48,0.23,0.26,0.24,8
O,DOJO-041-std,6,70,75,0.0,0.4,0.04,0.07,0.07,0.02,0.04,0.08,0.1,0.08,0.04,0.05,8
O,SPMS,6,70,75,0.0,0.4,0.04,0.06,0.07,0.01,0.04,0.07,0.1,0.07,0.04,0.05,8
O,GBRV-1.X,6,35,35,0.3931296329256796,0.4431296329256796,0.54,0.45,0.44,0.5,0.54,0.48,0.81,0.48,0.52,0.48,8
O,SG15,6,75,80,0.0,0.45,0.08,0.03,0.02,0.07,0.08,0.03,0.23,0.03,0.06,0.05,8
O,DOJO-041-str,6,,,0.0,,0.05,0.07,0.08,0.03,0.05,0.08,0.06,0.08,0.05,0.06,8
O,PSL-PAW-v1-high,6,40,65,,,,,,,,,,,,,8
O,PSL-US-v0.x,6,,,0.0,,0.01,0.02,0.02,0.02,0.02,0.03,0.08,0.03,0.03,0.03,8
O,PSL-US-v1-high,6,,,0.1169742358068104,,0.25,0.2,0.19,0.21,0.25,0.2,0.43,0.2,0.23,0.21,8
O,PSL-US-v1-low,6,,,0.11851970751893888,,0.25,0.2,0.19,0.21,0.25,0.2,0.44,0.2,0.23,0.21,8
F,GBRV-1.X,7,40,40,0.03579825705746001,0.13579825705746001,0.21,0.23,0.27,0.18,0.07,0.07,0.02,0.1,0.07,0.09,9
F,PSL-PAW-v0.x,7,65,70,0.0,0.35000000000000003,0.03,0.03,0.05,0.03,0.01,0.02,0.05,0.02,0.01,0.06,9
F,PSL-PAW-v1-high,7,65,70,0.0,0.35000000000000003,0.05,0.04,0.03,0.05,0.06,0.03,0.14,0.03,0.04,0.04,9
F,PSL-US-v1-high,7,65,70,0.0013742646545233323,0.35137426465452337,0.11,0.05,0.1,0.1,0.06,0.04,0.17,0.08,0.05,0.02,9
F,JTH-1.1-std,7,70,70,0.0003054461699233325,0.40030544616992336,0.1,0.08,0.1,0.11,0.05,0.06,0.06,0.05,0.07,0.08,9
F,SPMS,7,70,75,0.03361606461357222,0.43361606461357227,0.16,0.24,0.26,0.14,0.05,0.06,0.04,0.14,0.04,0.12,9
F,DOJO-041-std,7,75,75,0.03711912902055,0.48711912902055,0.17,0.25,0.28,0.15,0.05,0.06,0.04,0.14,0.04,0.12,9
F,SG15,7,120,120,0.005768193614676663,0.9057681936146766,0.02,0.12,0.13,0.02,0.05,0.03,0.2,0.07,0.06,0.08,9
F,PSL-US-v0.x,7,,,0.0,,0.04,0.09,0.03,0.02,0.01,0.01,0.07,0.04,0.01,0.04,9
Ne,SPMS,8,65,90,0.555110124881071,0.9051101248810711,1.31,1.62,1.4,0.88,0.41,0.2,0.59,0.81,0.2,0.03,10
Ne,JTH-1.1-std,8,120,120,0.09945198637342442,0.9994519863734245,0.18,0.21,0.2,0.26,0.18,0.27,0.41,0.14,0.26,0.09,10
Ne,DOJO-041-std,8,80,100,0.5591310498591076,1.0591310498591076,1.41,1.72,1.47,0.95,0.51,0.11,0.41,0.88,0.1,0.03,10
Ne,PSL-PAW-v1-high,8,150,150,0.022346345159597776,1.2223463451595977,0.12,0.13,0.11,0.2,0.15,0.03,0.08,0.19,0.0,0.06,10
Ne,DOJO-041-str,8,150,150,0.5814359675103655,1.7814359675103655,1.43,2.03,1.54,0.98,0.54,0.1,0.4,0.94,0.09,0.03,10
Ne,PSL-US-v1-high,8,50,65,12.02984046043378,12.22984046043378,22.26,35.94,14.39,15.64,3.45,5.82,8.79,27.34,6.1,5.38,10
Ne,SG15,8,,,1.945833059384553,,0.67,0.36,0.41,1.31,2.51,4.37,9.44,1.13,4.93,2.72,10
