element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
Sr,DOJO-041-str,10,55,60,0.0,0.25,0.14,0.02,0.01,0.03,0.01,0.01,0.05,0.07,0.01,0.06,38
Sr,PSL-PAW-v1-high,10,,,0.0017706666148811084,,0.01,0.02,0.02,0.04,0.09,0.11,0.19,0.1,0.11,0.04,38
Y,JTH-1.1-std,11,30,30,0.0,0.0,0.02,0.03,0.03,0.04,0.1,0.09,0.09,0.09,0.09,0.1,39
Y,GBRV-1.X,11,30,30,0.0,0.0,0.0,0.01,0.01,0.1,0.08,0.09,0.09,0.07,0.09,0.09,39
Y,PSL-PAW-v1-high,11,35,35,0.003216715903087777,0.05321671590308778,0.05,0.02,0.02,0.18,0.1,0.09,0.12,0.07,0.11,0.05,39
Y,PSL-US-v1-high,11,35,35,0.01792384396044444,0.06792384396044444,0.13,0.08,0.08,0.41,0.14,0.11,0.13,0.13,0.12,0.07,39
Y,SG15,11,35,35,0.04329884752729666,0.09329884752729667,0.07,0.03,0.03,0.36,0.16,0.17,0.21,0.14,0.2,0.11,39
Y,SPMS,11,30,30,0.19680488416187888,0.19680488416187888,0.13,0.07,0.07,0.54,0.39,0.41,0.48,0.3,0.46,0.31,39
Y,DOJO-041-std,11,,,0.0020820016025888863,,0.1,0.05,0.05,0.4,0.11,0.08,0.11,0.09,0.1,0.05,39
Zr,JTH-1.1-std,12,30,30,0.006454539652504442,0.006454539652504442,0.08,0.05,0.05,0.06,0.12,0.11,0.13,0.1,0.12,0.09,40
Zr,GBRV-1.X,12,30,30,0.010599834990027776,0.010599834990027776,0.09,0.05,0.05,0.09,0.13,0.12,0.14,0.12,0.13,0.09,40
Zr,PSL-PAW-v1-high,12,40,40,0.021805670639095553,0.12180567063909556,0.06,0.06,0.06,0.16,0.15,0.15,0.15,0.08,0.14,0.1,40
Zr,PSL-US-v1-high,12,40,40,0.05761095762428776,0.15761095762428776,0.13,0.15,0.15,0.26,0.21,0.18,0.16,0.14,0.17,0.13,40
Zr,SG15,12,45,45,0.024358867148102214,0.1743588671481022,0.02,0.02,0.02,0.14,0.13,0.18,0.18,0.05,0.16,0.12,40
Zr,DOJO-041-std,12,55,55,0.03521183298339222,0.2852118329833922,0.09,0.11,0.11,0.21,0.18,0.17,0.16,0.1,0.16,0.12,40
Zr,SPMS,12,30,30,0.29501422770190777,0.29501422770190777,0.18,0.18,0.21,0.43,0.55,0.66,0.66,0.28,0.61,0.46,40
Zr,PSL-PAW-v0.x,12,30,45,0.71150655312608,0.71150655312608,0.53,0.42,0.43,1.07,1.1,1.13,1.16,0.74,1.09,0.8,40
Zr,PSL-US-v0.x,12,30,45,0.7264118806196144,0.7264118806196144,0.55,0.44,0.45,1.09,1.11,1.14,1.17,0.76,1.1,0.81,40
Nb,GBRV-1.X,13,30,30,0.047154681576389995,0.047154681576389995,0.15,0.14,0.13,0.15,0.18,0.15,0.16,0.17,0.16,0.11,41
Nb,PSL-PAW-v0.x,13,30,35,0.05913316198036554,0.05913316198036554,0.11,0.08,0.08,0.22,0.21,0.2,0.26,0.12,0.2,0.16,41
Nb,PSL-US-v0.x,13,30,35,0.09416140696013887,0.09416140696013887,0.15,0.15,0.14,0.27,0.25,0.22,0.27,0.16,0.22,0.18,41
Nb,PSL-PAW-v1-high,13,35,60,0.06154641655806445,0.11154641655806445,0.12,0.09,0.09,0.23,0.21,0.2,0.26,0.13,0.2,0.16,41
Nb,PSL-US-v1-high,13,35,60,0.11082061543994667,0.1608206154399467,0.17,0.18,0.17,0.29,0.27,0.23,0.28,0.17,0.23,0.2,41
Nb,SPMS,13,45,50,0.09107566990442222,0.2410756699044222,0.13,0.15,0.15,0.22,0.25,0.24,0.32,0.14,0.24,0.2,41
Nb,SG15,13,50,50,0.07897127713928112,0.27897127713928116,0.13,0.12,0.12,0.25,0.24,0.22,0.29,0.13,0.22,0.18,41
Nb,DOJO-041-std,13,65,70,0.03538983314478666,0.3853898331447867,0.1,0.14,0.13,0.17,0.17,0.15,0.18,0.09,0.14,0.13,41
Nb,JTH-1.1-std,13,,,0.012229706285671112,,0.08,0.07,0.06,0.03,0.15,0.13,0.13,0.11,0.13,0.1,41
Mo,JTH-1.1-std,14,30,30,0.0,0.0,0.05,0.09,0.07,0.11,0.01,0.04,0.09,0.01,0.04,0.04,42
Mo,SG15,14,30,30,0.029832810377594443,0.029832810377594443,0.08,0.01,0.02,0.18,0.07,0.18,0.39,0.05,0.15,0.16,42
Mo,GBRV-1.X,14,30,30,0.07350497024903554,0.07350497024903554,0.18,0.15,0.15,0.16,0.21,0.19,0.23,0.19,0.2,0.14,42
Mo,PSL-PAW-v0.x,14,35,40,0.04854799220364888,0.09854799220364888,0.12,0.09,0.08,0.19,0.18,0.18,0.28,0.13,0.18,0.15,42
Mo,PSL-PAW-v1-high,14,40,55,0.03131516032536777,0.13131516032536777,0.1,0.05,0.05,0.17,0.16,0.16,0.24,0.1,0.16,0.13,42
Mo,PSL-US-v1-high,14,40,55,0.08281257718394111,0.18281257718394112,0.17,0.14,0.14,0.24,0.23,0.2,0.27,0.16,0.19,0.17,42
Mo,DOJO-041-std,14,65,65,0.04918468899601555,0.39918468899601556,0.13,0.13,0.13,0.17,0.18,0.17,0.25,0.12,0.16,0.14,42
Mo,SPMS,14,,,0.005967113636816663,,0.08,0.08,0.07,0.13,0.09,0.12,0.23,0.07,0.11,0.09,42
Mo,PSL-US-v0.x,14,,,0.08584461746407,,0.18,0.16,0.15,0.21,0.23,0.21,0.29,0.17,0.21,0.17,42
Tc,GBRV-1.X,15,30,30,0.01597781088481111,0.01597781088481111,0.11,0.13,0.13,0.1,0.13,0.11,0.12,0.13,0.12,0.09,43
Tc,JTH-1.1-std,15,30,30,0.030706183266598894,0.030706183266598894,0.12,0.13,0.14,0.09,0.13,0.14,0.23,0.14,0.16,0.11,43
Tc,PSL-PAW-v0.x,15,35,40,0.0026781126820933274,0.05267811268209333,0.1,0.07,0.04,0.1,0.1,0.11,0.22,0.07,0.11,0.09,43
Tc,SG15,15,30,30,0.05384355886617777,0.05384355886617777,0.11,0.06,0.02,0.29,0.05,0.22,0.47,0.07,0.18,0.19,43
Tc,PSL-US-v0.x,15,35,40,0.019435972349378886,0.06943597234937889,0.12,0.12,0.08,0.11,0.11,0.15,0.32,0.08,0.14,0.12,43
Tc,SPMS,15,30,30,0.19259647248093886,0.19259647248093886,0.32,0.1,0.09,0.62,0.2,0.42,0.71,0.12,0.34,0.41,43
Tc,DOJO-041-std,15,,,0.033736881223602216,,0.16,0.14,0.1,0.13,0.15,0.15,0.28,0.11,0.15,0.12,43
Tc,PSL-PAW-v1-high,15,,,0.028860458994066664,,0.14,0.11,0.07,0.13,0.14,0.16,0.29,0.1,0.16,0.12,43
Tc,PSL-US-v1-high,15,,,0.09665565214371219,,0.24,0.21,0.16,0.21,0.23,0.19,0.3,0.18,0.19,0.16,43
Ru,GBRV-1.X,16,30,30,0.038539844939354445,0.038539844939354445,0.15,0.15,0.16,0.15,0.13,0.13,0.15,0.15,0.14,0.1,44
Ru,SG15,16,30,30,0.04091213486233777,0.04091213486233777,0.08,0.04,0.04,0.16,0.02,0.24,0.53,0.06,0.19,0.18,44
Ru,SPMS,16,35,35,0.013217618741895556,0.06321761874189556,0.1,0.11,0.12,0.14,0.04,0.14,0.42,0.01,0.11,0.06,44
Ru,PSL-US-v1-high,16,40,45,0.08632852364654223,0.18632852364654223,0.21,0.21,0.17,0.19,0.21,0.2,0.37,0.15,0.2,0.14,44
Ru,JTH-1.1-std,16,30,30,0.19613483526351225,0.19613483526351225,0.24,0.07,0.06,0.36,0.43,0.41,0.78,0.28,0.48,0.27,44
Ru,DOJO-041-std,16,70,70,0.10181893055426444,0.5018189305542644,0.22,0.21,0.18,0.21,0.22,0.23,0.44,0.15,0.23,0.16,44
Ru,PSL-PAW-v1-high,16,,,0.022181790504731104,,0.12,0.09,0.07,0.13,0.12,0.16,0.34,0.09,0.16,0.1,44
Rh,SG15,17,30,30,0.056641332844477775,0.056641332844477775,0.03,0.04,0.09,0.04,0.03,0.24,0.59,0.02,0.37,0.21,45
Rh,SPMS,17,40,40,0.04036084546237332,0.14036084546237332,0.15,0.12,0.12,0.17,0.14,0.16,0.31,0.09,0.21,0.09,45
Rh,PSL-PAW-v1-high,17,50,55,0.004567872215175554,0.20456787221517556,0.1,0.06,0.05,0.11,0.12,0.11,0.28,0.07,0.1,0.07,45
Rh,GBRV-1.X,15,35,40,0.16061782907945,0.21061782907944998,0.29,0.22,0.23,0.3,0.26,0.29,0.81,0.21,0.33,0.2,45
Rh,PSL-US-v1-high,17,50,55,0.035192723144981106,0.23519272314498113,0.16,0.14,0.12,0.15,0.17,0.13,0.31,0.11,0.13,0.09,45
Rh,JTH-1.1-std,17,30,30,0.29636230972520333,0.29636230972520333,0.58,0.62,0.64,0.52,0.41,0.26,0.34,0.42,0.18,0.23,45
Rh,DOJO-041-std,17,75,75,0.09890338740580779,0.5489033874058078,0.22,0.2,0.18,0.24,0.23,0.2,0.49,0.15,0.23,0.14,45
Rh,PSL-PAW-v0.x,17,45,45,0.54544150115214,0.69544150115214,0.69,0.57,0.59,0.85,0.62,0.67,1.48,0.54,0.78,0.49,45
Rh,PSL-US-v0.x,17,45,45,0.5601813415421989,0.7101813415421989,0.71,0.59,0.61,0.87,0.63,0.68,1.49,0.55,0.79,0.5,45
Pd,SG15,18,40,40,0.037374653851881115,0.13737465385188113,0.06,0.01,0.01,0.15,0.04,0.23,0.61,0.01,0.21,0.14,46
Pd,PSL-PAW-v1-high,18,65,75,0.0027986601634355543,0.3527986601634356,0.05,0.02,0.02,0.07,0.08,0.13,0.25,0.03,0.09,0.06,46
Pd,PSL-US-v1-high,18,65,75,0.005879814729967776,0.3558798147299678,0.09,0.1,0.09,0.1,0.11,0.14,0.28,0.06,0.1,0.08,46
Pd,SPMS,18,40,45,0.28672246650312777,0.3867224665031278,0.39,0.28,0.29,0.41,0.38,0.55,1.13,0.3,0.56,0.32,46
Pd,GBRV-1.X,16,35,35,0.41605141131441,0.46605141131440997,0.43,0.37,0.39,0.58,0.54,0.72,1.61,0.44,0.7,0.47,46
Pd,DOJO-041-std,18,70,70,0.10132788431137443,0.5013278843113744,0.23,0.39,0.34,0.21,0.12,0.14,0.5,0.18,0.09,0.02,46
Pd,PSL-US-v0.x,10,40,45,0.5825935763576299,0.6825935763576298,0.7,0.6,0.61,0.93,0.56,0.84,2.44,0.54,0.84,0.54,46
Pd,PSL-PAW-v1-low,10,40,45,0.6044660421261921,0.7044660421261921,0.74,0.65,0.66,0.87,0.59,0.86,2.45,0.56,0.86,0.55,46
Pd,PSL-PAW-v0.x,10,40,45,0.6201334814658055,0.7201334814658055,0.73,0.65,0.66,0.96,0.57,0.89,2.55,0.57,0.88,0.57,46
Pd,PSL-US-v1-low,10,40,45,0.6413334679572168,0.7413334679572168,0.8,0.71,0.71,0.92,0.63,0.87,2.34,0.6,0.89,0.53,46
Pd,JTH-1.1-std,18,35,35,2.2572384476763663,2.307238447676366,3.44,3.92,4.04,3.4,1.91,1.59,1.25,2.81,1.36,1.53,46
Ag,SPMS,19,35,40,0.04778283080361778,0.09778283080361778,0.14,0.08,0.1,0.13,0.17,0.21,0.36,0.06,0.26,0.12,47
Ag,JTH-1.1-std,11,30,30,0.17064526702254998,0.17064526702254998,0.22,0.15,0.19,0.33,0.22,0.51,1.01,0.13,0.4,0.29,47
Ag,SG15,19,45,45,0.08323525888307333,0.23323525888307334,0.14,0.28,0.23,0.11,0.05,0.23,0.58,0.21,0.22,0.13,47
Ag,DOJO-041-std,19,75,75,0.03496677599739222,0.48496677599739224,0.03,0.02,0.04,0.1,0.13,0.24,0.51,0.03,0.22,0.12,47
Ag,PSL-PAW-v1-high,19,80,90,0.028678959378587776,0.5286789593785878,0.06,0.01,0.05,0.1,0.13,0.22,0.42,0.06,0.2,0.12,47
Ag,GBRV-1.X,19,75,100,0.19664250146307113,0.6466425014630711,0.25,0.17,0.21,0.34,0.3,0.48,0.94,0.18,0.45,0.28,47
Ag,PSL-PAW-v1-low,11,60,60,0.5882986198443488,0.8882986198443488,0.65,0.43,0.45,0.88,0.62,1.11,2.42,0.42,1.01,0.62,47
Ag,PSL-US-v0.x,11,45,45,0.7757565673370266,0.9257565673370266,0.83,0.62,0.65,1.1,0.82,1.3,2.67,0.6,1.22,0.75,47
Ag,PSL-PAW-v0.x,11,45,45,0.7962313074830267,0.9462313074830268,0.86,0.65,0.67,1.13,0.84,1.3,2.68,0.63,1.22,0.77,47
Ag,PSL-US-v1-low,11,,,0.5956192360179222,,0.67,0.45,0.47,0.9,0.63,1.08,2.33,0.45,1.0,0.6,47
Ag,PSL-US-v1-high,19,,,0.06820334662423111,,0.13,0.15,0.18,0.22,0.17,0.23,0.44,0.1,0.21,0.13,47
Cd,JTH-1.1-std,12,35,120,0.009774066717701107,0.05977406671770111,0.07,0.14,0.13,0.05,0.12,0.03,0.29,0.01,0.03,0.01,48
Cd,SPMS,20,40,40,0.04319402147688667,0.14319402147688667,0.11,0.14,0.15,0.13,0.06,0.24,0.6,0.03,0.21,0.11,48
Cd,SG15,20,35,35,0.1939965151593444,0.2439965151593444,0.43,0.46,0.44,0.46,0.1,0.28,0.27,0.31,0.2,0.16,48
Cd,PSL-PAW-v0.x,12,55,55,0.1389332054163011,0.3889332054163011,0.06,0.13,0.11,0.07,0.41,0.41,0.99,0.18,0.42,0.28,48
Cd,PSL-US-v0.x,12,55,55,0.1871474527649878,0.4371474527649878,0.16,0.25,0.22,0.16,0.54,0.37,0.89,0.19,0.41,0.28,48
Cd,PSL-US-v1-low,12,55,55,0.31154122551049884,0.5615412255104988,0.1,0.13,0.09,0.22,0.6,0.83,1.97,0.37,0.8,0.54,48
Cd,PSL-PAW-v1-low,12,55,55,0.33352141061819335,0.5835214106181934,0.09,0.15,0.11,0.2,0.69,0.85,1.98,0.39,0.84,0.57,48
Cd,PSL-US-v1-high,20,100,100,0.004383691471085555,0.7043836914710856,0.04,0.07,0.04,0.01,0.09,0.13,0.3,0.03,0.11,0.08,48
Cd,DOJO-041-str,20,100,100,0.07653756911618334,0.7765375691161834,0.19,0.19,0.28,0.49,0.13,0.14,0.29,0.13,0.13,0.1,48
Cd,GBRV-1.X,12,90,100,0.3615695056977166,0.9615695056977166,0.34,0.46,0.41,0.3,0.69,0.58,0.91,0.38,0.61,0.39,48
Cd,DOJO-041-std,20,,,0.26792032166145446,,0.49,0.53,0.64,0.96,0.25,0.24,0.41,0.31,0.24,0.19,48
Cd,PSL-PAW-v1-high,20,,,0.012354786163828886,,0.11,0.13,0.12,0.12,0.07,0.12,0.29,0.01,0.11,0.07,48
In,PSL-US-v0.x,13,45,45,0.0417227215982289,0.1917227215982289,0.07,0.05,0.05,0.04,0.1,0.26,0.56,0.08,0.27,0.15,49
In,SPMS,13,35,35,0.1459909866018089,0.19599098660180891,0.17,0.06,0.06,0.31,0.22,0.46,0.83,0.15,0.44,0.27,49
In,PSL-PAW-v0.x,13,45,45,0.07282851390267336,0.22282851390267336,0.05,0.03,0.03,0.04,0.13,0.35,0.63,0.1,0.37,0.2,49
In,DOJO-041-std,13,60,65,0.09653516151450665,0.39653516151450663,0.12,0.15,0.14,0.06,0.12,0.41,0.73,0.02,0.39,0.23,49
In,PSL-PAW-v1-high,13,60,60,0.20041672150853446,0.5004167215085344,0.14,0.19,0.2,0.1,0.3,0.56,0.89,0.25,0.6,0.36,49
In,PSL-US-v1-high,13,60,60,0.21017933411871667,0.5101793341187166,0.15,0.2,0.21,0.12,0.31,0.58,0.93,0.25,0.61,0.36,49
In,GBRV-1.X,13,80,100,0.19857277740641777,0.6985727774064178,0.11,0.03,0.06,0.17,0.33,0.59,1.19,0.24,0.56,0.49,49
In,JTH-1.1-str,3,30,30,0.7665515939540958,0.7665515939540958,0.28,0.31,0.38,0.24,0.83,2.11,7.85,0.62,2.51,0.52,49
In,JTH-1.1-std,13,120,120,0.029370875404109986,0.92937087540411,0.03,0.14,0.16,0.03,0.06,0.15,0.44,0.02,0.14,0.17,49
In,SG15,13,,,0.1883926617323356,,0.23,0.12,0.12,0.36,0.27,0.52,0.93,0.19,0.48,0.32,49
In,DOJO-041-str,21,,,0.07475350643625776,,0.09,0.17,0.13,0.18,0.15,0.26,0.47,0.18,0.26,0.14,49
Sn,JTH-1.1-std,14,35,120,0.050203530988947774,0.10020353098894777,0.12,0.13,0.16,0.02,0.05,0.26,0.32,0.01,0.2,0.18,50
Sn,SG15,14,35,40,0.06884865768240556,0.11884865768240556,0.2,0.26,0.25,0.01,0.09,0.15,0.42,0.26,0.07,0.08,50
Sn,JTH-1.1-str,4,30,30,0.27030068444184546,0.27030068444184546,0.14,0.2,0.25,0.18,0.9,0.79,2.43,0.32,0.38,0.16,50
Sn,GBRV-1.X,14,75,80,0.0,0.45,0.08,0.09,0.07,0.18,0.05,0.06,0.08,0.05,0.03,0.03,50
Sn,DOJO-041-std,14,65,65,0.24215059858901108,0.5921505985890111,0.13,0.1,0.09,0.1,0.19,0.9,1.07,0.2,0.79,0.58,50
Sn,PSL-PAW-v1-high,14,70,70,0.24731866245029227,0.6473186624502922,0.18,0.21,0.2,0.05,0.22,0.75,0.87,0.28,0.68,0.51,50
Sn,PSL-US-v1-high,14,70,70,0.26350135035621,0.6635013503562099,0.21,0.23,0.22,0.08,0.22,0.78,0.94,0.29,0.7,0.52,50
Sn,DOJO-041-str,22,90,90,0.18481959167380668,0.7848195916738067,0.29,0.33,0.24,0.33,0.17,0.34,0.34,0.29,0.33,0.24,50
Sn,SPMS,14,,,0.16777508710353553,,0.25,0.27,0.25,0.14,0.22,0.39,0.11,0.3,0.55,0.49,50
Sb,JTH-1.1-std,15,30,35,0.10537519971224998,0.10537519971224998,0.05,0.05,0.05,0.09,0.19,0.4,0.96,0.16,0.33,0.36,51
Sb,SG15,15,40,45,0.04367531403037,0.14367531403037,0.06,0.12,0.12,0.07,0.02,0.26,0.48,0.16,0.23,0.09,51
Sb,SPMS,15,45,45,0.05065055063868112,0.20065055063868112,0.02,0.02,0.01,0.02,0.04,0.27,0.57,0.04,0.23,0.26,51
Sb,PSL-PAW-v1-low,5,30,30,0.37229941028158225,0.37229941028158225,0.49,0.55,0.59,0.37,0.56,0.4,1.36,0.44,0.52,0.33,51
Sb,PSL-US-v1-low,5,30,30,0.38381425673654895,0.38381425673654895,0.49,0.55,0.59,0.38,0.58,0.42,1.43,0.45,0.54,0.35,51
Sb,DOJO-041-std,15,75,75,0.15097614880983223,0.6009761488098322,0.04,0.1,0.1,0.01,0.15,0.54,1.38,0.21,0.42,0.53,51
Sb,PSL-US-v1-high,15,70,70,0.3853701599056856,0.7853701599056857,0.29,0.4,0.4,0.23,0.32,0.78,1.85,0.49,0.65,0.8,51
Sb,DOJO-041-str,23,90,90,0.21503390195483998,0.8150339019548399,0.28,0.34,0.25,0.36,0.19,0.35,0.75,0.37,0.31,0.39,51
Sb,PSL-PAW-v1-high,15,70,70,,,,,,,,,,,,,51
Sb,JTH-1.1-str,5,,,0.7847192007690155,,0.11,0.32,0.28,0.24,0.34,2.08,7.56,0.94,1.43,2.21,51
Sb,GBRV-1.X,15,,,0.09031258790307446,,0.08,0.15,0.15,0.04,0.11,0.32,0.76,0.19,0.27,0.34,51
Te,PSL-US-v1-low,6,30,30,0.07434270990142894,0.07434270990142894,0.07,0.05,0.13,0.05,0.05,0.3,3.55,0.19,0.24,0.32,52
Te,PSL-PAW-v1-low,6,30,30,0.08378064802467329,0.08378064802467329,0.13,0.05,0.08,0.03,0.03,0.33,3.23,0.17,0.26,0.36,52
Te,SPMS,16,45,45,0.18291842220135887,0.33291842220135887,0.03,0.15,0.23,0.06,0.18,0.52,2.15,0.31,0.43,0.54,52
Te,SG15,16,45,50,0.34812306505681323,0.49812306505681325,0.16,0.31,0.41,0.22,0.31,0.75,2.53,0.5,0.64,0.73,52
Te,JTH-1.1-std,6,30,30,0.5877698179508278,0.5877698179508278,0.28,0.07,0.3,0.07,0.36,1.54,9.06,0.76,1.25,1.5,52
Te,DOJO-041-std,16,65,65,0.33026214669271214,0.6802621466927121,0.13,0.28,0.38,0.18,0.29,0.75,3.12,0.47,0.65,0.73,52
Te,GBRV-1.X,6,30,30,0.7380552803827144,0.7380552803827144,0.5,0.18,0.15,0.13,0.57,1.95,10.08,0.68,1.61,1.77,52
Te,PSL-PAW-v1-high,16,65,70,0.5334972647449111,0.8834972647449111,0.28,0.48,0.61,0.35,0.45,0.98,3.78,0.71,0.89,0.95,52
Te,PSL-US-v1-high,16,65,70,0.5416901237924157,0.8916901237924157,0.3,0.49,0.63,0.35,0.45,0.99,4.03,0.72,0.9,0.96,52
Te,DOJO-041-str,24,90,90,0.29208228866327,0.89208228866327,0.29,0.38,0.38,0.43,0.25,0.44,1.56,0.47,0.41,0.47,52
Te,DOJO-050-std,16,65,70,1.3543586931082952,1.7043586931082952,1.14,0.78,0.8,2.47,1.99,2.35,8.18,0.89,2.09,0.59,52
I,SPMS,7,30,30,0.1380277499087077,0.1380277499087077,0.06,0.02,0.06,0.01,0.01,0.44,2.36,0.3,0.43,0.47,53
I,PSL-PAW-v1-low,7,30,30,0.2539312231753145,0.2539312231753145,0.02,0.08,0.17,0.07,0.13,0.77,3.7,0.42,0.65,0.75,53
I,PSL-US-v1-low,7,30,30,0.25517299159257223,0.25517299159257223,0.02,0.09,0.17,0.08,0.13,0.77,3.73,0.42,0.65,0.75,53
I,DOJO-041-std,7,55,60,0.26974652861678217,0.5197465286167822,0.04,0.12,0.19,0.11,0.12,0.75,3.51,0.5,0.7,0.74,53
I,SG15,17,55,60,0.3114676412578866,0.5614676412578866,0.07,0.16,0.24,0.14,0.21,0.84,2.54,0.52,0.69,0.81,53
I,DOJO-050-std,7,55,60,0.3169557384965511,0.5669557384965511,0.36,0.39,0.42,0.37,0.37,0.55,0.82,0.41,0.45,0.43,53
I,PSL-US-v1-high,17,60,90,0.44609244183976454,0.7460924418397645,0.18,0.3,0.39,0.23,0.32,1.01,3.55,0.66,0.89,0.94,53
I,PSL-PAW-v1-high,17,60,90,0.4517598163619511,0.7517598163619511,0.19,0.3,0.39,0.24,0.33,1.01,3.56,0.66,0.89,0.94,53
I,DOJO-041-str,17,65,70,0.4264830682143643,0.7764830682143644,0.13,0.24,0.32,0.2,0.3,1.05,3.75,0.64,0.9,0.96,53
I,JTH-1.1-std,7,,,0.6939337976856024,,0.13,0.04,0.19,0.07,0.35,1.94,11.89,0.81,1.62,1.9,53
I,GBRV-1.X,7,,,0.0675454542819711,,0.16,0.16,0.15,0.16,0.17,0.22,0.01,0.18,0.23,0.21,53
Xe,JTH-1.1-std,8,30,45,0.6106876627165989,0.6106876627165989,0.2,0.15,0.17,0.27,0.28,1.93,6.31,0.1,1.49,1.81,54
Xe,DOJO-050-std,8,65,120,0.2653706608351156,0.6153706608351157,0.48,0.57,0.57,0.53,0.25,0.19,0.56,0.36,0.12,0.22,54
Xe,SPMS,8,30,30,0.7668847376104901,0.7668847376104901,0.35,0.48,0.48,0.38,0.56,1.93,5.22,0.15,1.67,1.81,54
Xe,DOJO-041-std,8,65,120,0.53082901739181,0.8808290173918101,0.44,0.57,0.55,0.48,0.24,1.19,3.18,0.09,1.03,1.08,54
Xe,PSL-PAW-v1-high,18,120,150,0.5470481874309022,1.4470481874309022,0.03,0.08,0.1,0.08,0.6,1.66,4.23,0.27,1.41,1.48,54
Xe,SG15,18,70,70,1.106912207740447,1.5069122077404469,0.87,1.3,1.3,0.85,0.71,2.1,5.48,0.11,1.74,1.89,54
Xe,PSL-US-v1-high,18,120,120,0.6360008058408302,1.53600080584083,0.2,0.4,0.43,0.23,0.6,1.66,4.23,0.23,1.39,1.48,54
Cs,SPMS,9,35,35,0.015487547559108885,0.06548754755910889,0.1,0.08,0.08,0.1,0.11,0.11,0.37,0.13,0.06,0.18,55
Cs,PSL-PAW-v1-low,9,30,40,0.42114405236657554,0.42114405236657554,0.15,0.12,0.13,0.16,0.51,1.56,4.3,0.43,1.03,0.6,55
Cs,PSL-US-v1-low,9,30,40,0.44401395631980556,0.44401395631980556,0.07,0.02,0.02,0.07,0.56,1.67,4.37,0.47,1.13,0.67,55
Cs,GBRV-1.X,9,30,30,0.5519619917130735,0.5519619917130735,0.07,0.05,0.06,0.08,0.73,1.62,4.76,0.6,1.22,1.29,55
Cs,SG15,9,35,40,0.5386139235925445,0.5886139235925445,0.05,0.04,0.04,0.06,0.69,1.92,5.44,0.59,1.31,0.84,55
Cs,JTH-1.1-std,9,75,90,1.1800275149150223,1.6300275149150223,0.01,0.0,0.01,0.04,1.48,3.81,9.84,1.25,2.61,1.97,55
Cs,DOJO-041-std,9,,,0.027114185277347783,,0.1,0.08,0.08,0.1,0.13,0.06,0.69,0.16,0.11,0.25,55
Cs,PSL-PAW-v1-high,9,,,0.08819496637717333,,0.24,0.19,0.19,0.24,0.17,0.03,0.42,0.2,0.12,0.24,55
Cs,PSL-US-v1-high,9,30,30,,,,,,,,,,,,,55
Ba,SPMS,10,30,30,0.045707552538144416,0.045707552538144416,0.17,0.15,0.13,0.14,0.17,0.06,1.32,0.19,0.1,0.17,56
Ba,SG15,10,40,40,0.006910905781045547,0.10691090578104555,0.12,0.09,0.09,0.06,0.08,0.03,0.83,0.13,0.04,0.11,56
Ba,DOJO-050-std,10,50,50,0.020010199890602216,0.22001019989060222,0.1,0.09,0.09,0.16,0.14,0.08,0.09,0.18,0.09,0.17,56
Ba,GBRV-1.X,10,35,40,1.0610095618164521,1.1110095618164522,0.46,0.17,0.18,2.19,1.05,1.79,10.77,1.68,1.52,1.41,56
Ba,PSL-PAW-v1-high,10,30,30,1.1491705753300245,1.1491705753300245,0.86,0.25,0.26,2.72,1.0,1.5,9.5,2.17,1.41,1.07,56
Ba,PSL-US-v1-high,10,30,30,1.2053075206341655,1.2053075206341655,0.95,0.32,0.34,2.88,1.01,1.52,9.53,2.23,1.43,1.09,56
Ba,DOJO-041-std,10,35,40,1.2550263735575657,1.3050263735575658,1.02,0.35,0.35,3.04,1.05,1.56,9.74,2.26,1.46,1.11,56
Ba,JTH-1.1-std,10,150,150,1.942760986448644,3.1427609864486437,1.18,0.31,0.39,4.51,1.75,2.54,15.34,3.4,2.36,1.94,56
Ba,DOJO-041-str,10,,,1.1802332619746592,,0.97,0.32,0.33,2.88,0.99,1.47,9.26,2.15,1.38,1.04,56
La,PSL-US-v1-high,11,50,50,0.03680435565627332,0.23680435565627334,0.29,0.18,0.29,0.07,0.03,0.03,0.17,0.07,0.03,0.04,57
La,GBRV-1.X,11,30,30,0.3655498876087778,0.3655498876087778,1.28,0.39,0.68,1.07,0.06,0.1,0.98,0.63,0.13,0.07,57
La,SPMS,11,35,35,0.34584811246297664,0.39584811246297663,0.33,0.26,0.34,0.4,0.43,0.71,3.04,0.36,0.62,0.56,57
La,JTH-1.1-std,11,30,30,0.5522438903705132,0.5522438903705132,0.76,0.25,0.39,1.17,0.52,0.73,2.86,0.75,0.69,0.59,57
La,DOJO-041-std,11,80,80,0.06465089159398557,0.5646508915939856,0.27,0.11,0.12,0.4,0.17,0.14,0.14,0.25,0.14,0.14,57
La,SG15,11,,,0.1645582236453822,,0.71,0.23,0.34,0.65,0.18,0.12,0.05,0.47,0.18,0.12,57
La,PSL-PAW-v1-high,11,,,0.00552679306820222,,0.14,0.05,0.11,0.02,0.07,0.04,0.14,0.01,0.04,0.06,57
La,PSL-PAW-v1-high,21,,,0.00552679306820222,,0.14,0.05,0.11,0.02,0.07,0.04,0.14,0.01,0.04,0.06,57
