+----------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
|                                              | bands |  eos  | phonon_frequencies | pressure | cohesive_energy |  max  |
|     S.us.pbe.z_6.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Sb.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        nan         |   70.0   |      30.0       | 200.0 |
|    Sc.us.pbe.z_11.ld1.psl.v1.0.0-high.upf    | 40.0  | 80.0  |        30.0        |   75.0   |      30.0       | 80.0  |
|    Se.us.pbe.z_16.ld1.psl.v1.0.0-high.upf    | 45.0  | 45.0  |        30.0        |   80.0   |      35.0       | 80.0  |
|    Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf     | 30.0  | 30.0  |        30.0        |   30.0   |      30.0       | 30.0  |
|    Sm.us.pbe.z_26.ld1.psl.v1.0.0-high.upf    | 70.0  | 90.0  |        55.0        |  120.0   |      55.0       | 120.0 |
|    Sn.us.pbe.z_14.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        nan         |   70.0   |      35.0       | 200.0 |
|    Sr.us.pbe.z_10.ld1.psl.v1.0.0-high.upf    | 30.0  | 30.0  |        30.0        |   55.0   |      30.0       | 55.0  |
|    Ta.us.pbe.z_27.ld1.psl.v1.0.0-high.upf    | 60.0  | 50.0  |        55.0        |   65.0   |      30.0       | 65.0  |
|    Tb.us.pbe.z_29.ld1.psl.v1.0.0-high.upf    | 90.0  |  nan  |        nan         |   nan    |       nan       | 200.0 |
|    Tc.us.pbe.z_15.ld1.psl.v1.0.0-high.upf    | 30.0  | 35.0  |        nan         |   40.0   |       nan       | 200.0 |
|    Te.us.pbe.z_16.ld1.psl.v1.0.0-high.upf    | 55.0  | 60.0  |        30.0        |   70.0   |      30.0       | 70.0  |
|    Th.us.pbe.z_12.ld1.psl.v1.0.0-high.upf    | 70.0  | 70.0  |        nan         |   75.0   |      30.0       | 200.0 |
|    Ti.us.pbe.z_12.ld1.psl.v1.0.0-high.upf    | 40.0  | 70.0  |        30.0        |   70.0   |      30.0       | 70.0  |
|    Tl.us.pbe.z_13.ld1.psl.v1.0.0-high.upf    | 35.0  | 40.0  |        nan         |   70.0   |      30.0       | 200.0 |
|    Tm.us.pbe.z_33.ld1.psl.v1.0.0-high.upf    | 100.0 | 120.0 |        60.0        |  150.0   |      75.0       | 150.0 |
|    U.us.pbe.z_14.ld1.psl.v1.0.0-high.upf     | 70.0  | 75.0  |        40.0        |   80.0   |      60.0       | 80.0  |
|    V.us.pbe.z_13.ld1.psl.v1.0.0-high.upf     | 40.0  | 45.0  |        nan         |   75.0   |      30.0       | 200.0 |
|    W.us.pbe.z_28.ld1.psl.v1.0.0-high.upf     | 55.0  | 40.0  |        nan         |   60.0   |      30.0       | 200.0 |
|    Xe.us.pbe.z_18.ld1.psl.v1.0.0-high.upf    | 35.0  | 65.0  |        30.0        |  150.0   |      35.0       | 150.0 |
|    Y.us.pbe.z_11.ld1.psl.v1.0.0-high.upf     | 30.0  | 55.0  |        30.0        |   65.0   |      30.0       | 65.0  |
|    Yb.us.pbe.z_34.ld1.psl.v1.0.0-high.upf    | 120.0 | 90.0  |        60.0        |  150.0   |      75.0       | 150.0 |
|    Zn.us.pbe.z_20.ld1.psl.v1.0.0-high.upf    | 50.0  | 55.0  |        30.0        |  100.0   |      55.0       | 100.0 |
|    Zr.us.pbe.z_12.ld1.psl.v1.0.0-high.upf    | 30.0  | 40.0  |        nan         |   40.0   |      30.0       | 200.0 |
+----------------------------------------------+-------+-------+--------------------+----------+-----------------+-------+
